ID	Label	Keywords/Query
0	NO	αντρικές δουλειές
1	PH	αντρικές δουλειές
2	IH	αντρικές δουλειές
3	IH	αντρικές δουλειές
4	IH	αντρικές δουλειές
5	IH	αντρικές δουλειές
6	IH	αντρικές δουλειές
7	ΙΗ	αντρικές δουλειές
8	ΙΗ	αντρικές δουλειές
9	ΝΟ	αντρικές δουλειές
10	PH	αντρικές δουλειές
11	NO	αντρικές δουλειές
12	PH	αντρικές δουλειές
13	IH	αντρικές δουλειές
14	IH	αντρικές δουλειές
15	PH	αντρικές δουλειές
16	IH	αντρικές δουλειές
17	IH	αντρικές δουλειές
18	ΝΟ	αντρικές δουλειές
19	ΝΟ	αντρικές δουλειές
20	PH	αντρικές δουλειές
21	ΙΗ	αντρικές δουλειές
22	PH	αντρικές δουλειές
23	NO	αντρικές δουλειές
24	IH	γυναικείες δουλειές
25	IH	γυναικείες δουλειές
26	NO	γυναικείες δουλειές
27	ΙΗ	γυναικείες δουλειές
28	PH	γυναικείες δουλειές
29	IH	γυναικείες δουλειές
30	IH	γυναικείες δουλειές
31	IH	γυναικείες δουλειές
32	NO	γυναικείες δουλειές
33	PH	οι άνδρες δεν κλαίνε/γυναικείες δουλειές
34	PH	γυναικείες δουλειές
35	IH	γυναικείες δουλειές
36	NO	γυναικείες δουλειές
37	IH	γυναικείες δουλειές
38	IH	γυναικείες δουλειές
39	NO	γυναικείες δουλειές
40	NO	γυναικείες δουλειές
41	NO	γυναικείες δουλειές
42	NO	γυναικείες δουλειές
43	PH	γυναικείες δουλειές
44	NO	γυναικείες δουλειές
45	IH	γυναικείες δουλειές
46	IH	γυναικείες δουλειές
47	NO	γυναικείες δουλειές
48	NO	γυναικείες δουλειές
49	NO	γυναικείες δουλειές
50	NO	γυναικείες δουλειές
51	NO	γυναικείες δουλειές
52	NO	γυναικείες δουλειές
53	NO	γυναικείες δουλειές
54	NO	γυναικείες δουλειές
55	NO	γυναικείες δουλειές
56	NO	γυναικείες δουλειές
57	PH	τοξική αρρενωπότητα
58	PH	τοξική αρρενωπότητα
59	NO	τοξική αρρενωπότητα
60	SH	τοξική αρρενωπότητα
61	NO	τοξική αρρενωπότητα
62	IH	τοξική αρρενωπότητα
63	IH	τοξική αρρενωπότητα
64	NO	τοξική αρρενωπότητα
65	IH	τοξική αρρενωπότητα
